CO,CO2,Kategori
259,450,Berbahaya
213,428,Berbahaya
394,496,Berbahaya
206,83,Sangat Tidak Sehat
241,305,Berbahaya
91,196,Tidak Sehat
161,39,Tidak Sehat
423,391,Berbahaya
93,448,Berbahaya
209,100,Sangat Tidak Sehat
495,329,Berbahaya
118,360,Berbahaya
458,248,Berbahaya
459,209,Berbahaya
46,291,Sangat Tidak Sehat
232,350,Berbahaya
251,236,Sangat Tidak Sehat
157,449,Berbahaya
24,272,Sangat Tidak Sehat
121,147,Tidak Sehat
48,45,Baik
119,7,Tidak Sehat
404,298,Berbahaya
447,215,Berbahaya
22,90,Sedang
151,208,Sangat Tidak Sehat
490,181,Berbahaya
270,352,Berbahaya
313,207,Berbahaya
3,412,Berbahaya
242,22,Sangat Tidak Sehat
494,317,Berbahaya
188,54,Tidak Sehat
49,164,Tidak Sehat
231,106,Sangat Tidak Sehat
482,7,Berbahaya
171,399,Berbahaya
399,107,Berbahaya
399,117,Berbahaya
104,391,Berbahaya
222,480,Berbahaya
358,368,Berbahaya
205,69,Sangat Tidak Sehat
96,455,Berbahaya
484,240,Berbahaya
325,263,Berbahaya
433,409,Berbahaya
13,425,Berbahaya
133,113,Tidak Sehat
251,250,Sangat Tidak Sehat
34,371,Berbahaya
497,492,Berbahaya
118,271,Sangat Tidak Sehat
187,304,Berbahaya
107,197,Tidak Sehat
53,249,Sangat Tidak Sehat
116,124,Tidak Sehat
150,490,Berbahaya
317,119,Berbahaya
141,357,Berbahaya
181,223,Sangat Tidak Sehat
3,368,Berbahaya
183,9,Tidak Sehat
267,88,Sangat Tidak Sehat
81,303,Berbahaya
299,273,Sangat Tidak Sehat
147,194,Tidak Sehat
316,358,Berbahaya
13,417,Berbahaya
444,229,Berbahaya
8,478,Berbahaya
63,408,Berbahaya
389,69,Berbahaya
23,286,Sangat Tidak Sehat
355,374,Berbahaya
486,335,Berbahaya
436,32,Berbahaya
355,394,Berbahaya
479,100,Berbahaya
215,199,Sangat Tidak Sehat
436,56,Berbahaya
178,395,Berbahaya
465,260,Berbahaya
74,158,Tidak Sehat
470,420,Berbahaya
416,277,Berbahaya
423,121,Berbahaya
62,174,Tidak Sehat
298,492,Berbahaya
8,68,Sedang
361,210,Berbahaya
4,435,Berbahaya
42,3,Baik
113,387,Berbahaya
438,252,Berbahaya
182,329,Berbahaya
270,222,Sangat Tidak Sehat
284,215,Sangat Tidak Sehat
113,289,Sangat Tidak Sehat
286,13,Sangat Tidak Sehat
330,254,Berbahaya
149,353,Berbahaya
209,62,Sangat Tidak Sehat
227,235,Sangat Tidak Sehat
466,135,Berbahaya
294,76,Sangat Tidak Sehat
474,169,Berbahaya
278,345,Berbahaya
250,348,Berbahaya
2,103,Tidak Sehat
240,160,Sangat Tidak Sehat
464,489,Berbahaya
99,408,Berbahaya
26,201,Sangat Tidak Sehat
203,18,Sangat Tidak Sehat
186,448,Berbahaya
429,36,Berbahaya
13,446,Berbahaya
460,189,Berbahaya
340,440,Berbahaya
452,371,Berbahaya
304,56,Berbahaya
406,64,Berbahaya
168,152,Tidak Sehat
175,284,Sangat Tidak Sehat
195,178,Tidak Sehat
377,203,Berbahaya
185,0,Tidak Sehat
121,381,Berbahaya
469,68,Berbahaya
454,345,Berbahaya
174,9,Tidak Sehat
317,21,Berbahaya
137,18,Tidak Sehat
103,457,Berbahaya
168,256,Sangat Tidak Sehat
164,337,Berbahaya
441,4,Berbahaya
411,340,Berbahaya
355,294,Berbahaya
480,416,Berbahaya
211,72,Sangat Tidak Sehat
123,248,Sangat Tidak Sehat
59,18,Sedang
151,432,Berbahaya
73,10,Sedang
46,228,Sangat Tidak Sehat
301,336,Berbahaya
182,494,Berbahaya
282,192,Sangat Tidak Sehat
96,90,Sedang
338,460,Berbahaya
108,343,Berbahaya
139,98,Tidak Sehat
371,306,Berbahaya
280,234,Sangat Tidak Sehat
167,103,Tidak Sehat
271,421,Berbahaya
347,193,Berbahaya
456,484,Berbahaya
290,282,Sangat Tidak Sehat
116,469,Berbahaya
373,256,Berbahaya
389,343,Berbahaya
100,121,Tidak Sehat
410,30,Berbahaya
232,367,Berbahaya
390,114,Berbahaya
119,16,Tidak Sehat
166,447,Berbahaya
477,43,Berbahaya
329,154,Berbahaya
386,72,Berbahaya
344,155,Berbahaya
102,143,Tidak Sehat
235,157,Sangat Tidak Sehat
404,197,Berbahaya
338,139,Berbahaya
3,312,Berbahaya
44,408,Berbahaya
173,241,Sangat Tidak Sehat
472,111,Berbahaya
246,493,Berbahaya
135,277,Sangat Tidak Sehat
180,448,Berbahaya
105,81,Tidak Sehat
211,492,Berbahaya
109,130,Tidak Sehat
423,430,Berbahaya
228,108,Sangat Tidak Sehat
140,401,Berbahaya
466,204,Berbahaya
157,434,Berbahaya
455,12,Berbahaya
22,265,Sangat Tidak Sehat
354,353,Berbahaya
242,71,Sangat Tidak Sehat
222,165,Sangat Tidak Sehat
18,26,Baik
20,343,Berbahaya
166,303,Berbahaya
474,239,Berbahaya
309,163,Berbahaya
184,325,Berbahaya
306,340,Berbahaya
103,193,Tidak Sehat
83,138,Tidak Sehat
181,214,Sangat Tidak Sehat
432,20,Berbahaya
255,433,Berbahaya
148,66,Tidak Sehat
475,361,Berbahaya
408,379,Berbahaya
161,378,Berbahaya
486,124,Berbahaya
494,187,Berbahaya
204,141,Sangat Tidak Sehat
328,329,Berbahaya
203,461,Berbahaya
129,79,Tidak Sehat
41,352,Berbahaya
132,374,Berbahaya
136,191,Tidak Sehat
199,79,Tidak Sehat
92,314,Berbahaya
477,12,Berbahaya
51,109,Tidak Sehat
313,493,Berbahaya
221,274,Sangat Tidak Sehat
212,262,Sangat Tidak Sehat
186,198,Tidak Sehat
434,124,Berbahaya
140,181,Tidak Sehat
10,96,Sedang
459,197,Berbahaya
432,281,Berbahaya
138,327,Berbahaya
262,487,Berbahaya
55,187,Tidak Sehat
47,161,Tidak Sehat
419,338,Berbahaya
205,289,Sangat Tidak Sehat
331,129,Berbahaya
472,232,Berbahaya
123,245,Sangat Tidak Sehat
7,167,Tidak Sehat
12,481,Berbahaya
355,73,Berbahaya
462,16,Berbahaya
234,489,Berbahaya
188,290,Sangat Tidak Sehat
271,220,Sangat Tidak Sehat
429,259,Berbahaya
326,341,Berbahaya
116,498,Berbahaya
387,444,Berbahaya
67,196,Tidak Sehat
83,251,Sangat Tidak Sehat
306,245,Berbahaya
119,43,Tidak Sehat
352,279,Berbahaya
175,476,Berbahaya
139,108,Tidak Sehat
499,231,Berbahaya
20,473,Berbahaya
323,216,Berbahaya
19,211,Sangat Tidak Sehat
380,249,Berbahaya
115,199,Tidak Sehat
45,364,Berbahaya
324,412,Berbahaya
366,434,Berbahaya
339,238,Berbahaya
26,214,Sangat Tidak Sehat
147,409,Berbahaya
226,399,Berbahaya
144,172,Tidak Sehat
405,493,Berbahaya
66,182,Tidak Sehat
306,161,Berbahaya
494,169,Berbahaya
451,49,Berbahaya
111,248,Sangat Tidak Sehat
0,427,Berbahaya
490,82,Berbahaya
441,390,Berbahaya
460,313,Berbahaya
208,49,Sangat Tidak Sehat
372,33,Berbahaya
106,486,Berbahaya
196,343,Berbahaya
426,450,Berbahaya
64,53,Sedang
447,469,Berbahaya
248,261,Sangat Tidak Sehat
213,358,Berbahaya
153,131,Tidak Sehat
458,402,Berbahaya
259,419,Berbahaya
402,324,Berbahaya
429,247,Berbahaya
461,219,Berbahaya
152,47,Tidak Sehat
170,324,Berbahaya
298,122,Sangat Tidak Sehat
221,253,Sangat Tidak Sehat
466,409,Berbahaya
199,48,Tidak Sehat
239,252,Sangat Tidak Sehat
309,294,Berbahaya
202,276,Sangat Tidak Sehat
496,7,Berbahaya
49,395,Berbahaya
110,30,Tidak Sehat
161,192,Tidak Sehat
74,32,Sedang
142,348,Berbahaya
390,418,Berbahaya
261,373,Berbahaya
17,53,Sedang
491,335,Berbahaya
308,494,Berbahaya
29,33,Baik
331,440,Berbahaya
189,335,Berbahaya
68,351,Berbahaya
282,24,Sangat Tidak Sehat
364,380,Berbahaya
336,216,Berbahaya
124,326,Berbahaya
262,347,Berbahaya
269,243,Sangat Tidak Sehat
358,411,Berbahaya
180,122,Tidak Sehat
399,161,Berbahaya
314,203,Berbahaya
19,357,Berbahaya
273,1,Sangat Tidak Sehat
431,244,Berbahaya
284,324,Berbahaya
88,333,Berbahaya
255,134,Sangat Tidak Sehat
378,279,Berbahaya
55,233,Sangat Tidak Sehat
409,395,Berbahaya
84,311,Berbahaya
267,158,Sangat Tidak Sehat
193,407,Berbahaya
124,8,Tidak Sehat
324,23,Berbahaya
19,443,Berbahaya
380,219,Berbahaya
263,460,Berbahaya
438,495,Berbahaya
260,362,Berbahaya
18,86,Sedang
72,248,Sangat Tidak Sehat
398,239,Berbahaya
246,119,Sangat Tidak Sehat
221,386,Berbahaya
159,131,Tidak Sehat
142,286,Sangat Tidak Sehat
483,141,Berbahaya
216,459,Berbahaya
442,100,Berbahaya
324,62,Berbahaya
429,176,Berbahaya
426,303,Berbahaya
478,115,Berbahaya
349,102,Berbahaya
403,492,Berbahaya
367,360,Berbahaya
303,281,Berbahaya
359,240,Berbahaya
358,48,Berbahaya
20,219,Sangat Tidak Sehat
258,157,Sangat Tidak Sehat
396,25,Berbahaya
121,182,Tidak Sehat
233,298,Sangat Tidak Sehat
217,238,Sangat Tidak Sehat
201,445,Berbahaya
61,233,Sangat Tidak Sehat
263,441,Berbahaya
223,371,Berbahaya
332,200,Berbahaya
275,250,Sangat Tidak Sehat
14,90,Sedang
16,456,Berbahaya
351,356,Berbahaya
354,264,Berbahaya
480,124,Berbahaya
438,391,Berbahaya
234,220,Sangat Tidak Sehat
313,489,Berbahaya
229,428,Berbahaya
111,448,Berbahaya
188,111,Tidak Sehat
52,366,Berbahaya
333,414,Berbahaya
96,192,Tidak Sehat
238,450,Berbahaya
484,301,Berbahaya
16,323,Berbahaya
76,366,Berbahaya
149,300,Berbahaya
471,122,Berbahaya
454,75,Berbahaya
81,64,Sedang
491,177,Berbahaya
375,201,Berbahaya
270,493,Berbahaya
466,101,Berbahaya
440,348,Berbahaya
196,207,Sangat Tidak Sehat
328,79,Berbahaya
324,438,Berbahaya
163,380,Berbahaya
90,331,Berbahaya
233,159,Sangat Tidak Sehat
132,10,Tidak Sehat
178,178,Tidak Sehat
477,283,Berbahaya
231,478,Berbahaya
342,357,Berbahaya
168,171,Tidak Sehat
498,13,Berbahaya
329,355,Berbahaya
98,280,Sangat Tidak Sehat
49,429,Berbahaya
472,15,Berbahaya
472,40,Berbahaya
311,397,Berbahaya
8,79,Sedang
113,182,Tidak Sehat
401,301,Berbahaya
438,179,Berbahaya
227,490,Berbahaya
183,426,Berbahaya
137,292,Sangat Tidak Sehat
58,110,Tidak Sehat
58,261,Sangat Tidak Sehat
476,421,Berbahaya
404,247,Berbahaya
82,464,Berbahaya
104,193,Tidak Sehat
328,394,Berbahaya
382,256,Berbahaya
405,55,Berbahaya
82,393,Berbahaya
492,348,Berbahaya
114,356,Berbahaya
295,210,Sangat Tidak Sehat
294,356,Berbahaya
484,379,Berbahaya
329,265,Berbahaya
292,338,Berbahaya
259,368,Berbahaya
382,152,Berbahaya
53,8,Sedang
1,21,Baik
476,489,Berbahaya
249,419,Berbahaya
164,29,Tidak Sehat
184,126,Tidak Sehat
402,84,Berbahaya
191,58,Tidak Sehat
385,96,Berbahaya
220,3,Sangat Tidak Sehat
422,244,Berbahaya
38,429,Berbahaya
241,100,Sangat Tidak Sehat
233,487,Berbahaya
132,140,Tidak Sehat
472,390,Berbahaya
453,441,Berbahaya
222,421,Berbahaya
49,269,Sangat Tidak Sehat
103,376,Berbahaya
136,179,Tidak Sehat
242,37,Sangat Tidak Sehat
169,38,Tidak Sehat
387,344,Berbahaya
238,306,Berbahaya
435,80,Berbahaya
498,206,Berbahaya
110,63,Tidak Sehat
306,452,Berbahaya
424,17,Berbahaya
473,264,Berbahaya
145,310,Berbahaya
364,386,Berbahaya
8,78,Sedang
440,151,Berbahaya
32,314,Berbahaya
367,275,Berbahaya
497,27,Berbahaya
251,120,Sangat Tidak Sehat
105,224,Sangat Tidak Sehat
297,251,Sangat Tidak Sehat
312,415,Berbahaya
334,346,Berbahaya
86,245,Sangat Tidak Sehat
449,373,Berbahaya
310,60,Berbahaya
22,405,Berbahaya
342,74,Berbahaya
98,234,Sangat Tidak Sehat
14,236,Sangat Tidak Sehat
275,444,Berbahaya
407,302,Berbahaya
430,95,Berbahaya
52,322,Berbahaya
332,239,Berbahaya
355,275,Berbahaya
147,302,Berbahaya
486,469,Berbahaya
139,140,Tidak Sehat
35,288,Sangat Tidak Sehat
260,345,Berbahaya
347,363,Berbahaya
122,459,Berbahaya
169,425,Berbahaya
282,53,Sangat Tidak Sehat
443,23,Berbahaya
374,245,Berbahaya
105,425,Berbahaya
126,309,Berbahaya
262,211,Sangat Tidak Sehat
384,271,Berbahaya
309,48,Berbahaya
251,405,Berbahaya
299,426,Berbahaya
378,25,Berbahaya
269,359,Berbahaya
449,124,Berbahaya
474,223,Berbahaya
458,133,Berbahaya
377,497,Berbahaya
123,340,Berbahaya
193,65,Tidak Sehat
140,259,Sangat Tidak Sehat
329,374,Berbahaya
162,347,Berbahaya
377,400,Berbahaya
57,187,Tidak Sehat
388,213,Berbahaya
293,128,Sangat Tidak Sehat
418,445,Berbahaya
215,446,Berbahaya
312,182,Berbahaya
277,261,Sangat Tidak Sehat
488,56,Berbahaya
378,362,Berbahaya
272,498,Berbahaya
87,54,Sedang
452,391,Berbahaya
103,484,Berbahaya
325,212,Berbahaya
468,386,Berbahaya
112,11,Tidak Sehat
113,352,Berbahaya
426,1,Berbahaya
414,188,Berbahaya
176,482,Berbahaya
133,460,Berbahaya
64,374,Berbahaya
494,74,Berbahaya
418,486,Berbahaya
450,84,Berbahaya
257,218,Sangat Tidak Sehat
57,441,Berbahaya
26,226,Sangat Tidak Sehat
165,155,Tidak Sehat
460,34,Berbahaya
474,59,Berbahaya
421,384,Berbahaya
79,440,Berbahaya
210,354,Berbahaya
123,265,Sangat Tidak Sehat
103,491,Berbahaya
342,439,Berbahaya
243,276,Sangat Tidak Sehat
162,57,Tidak Sehat
50,355,Berbahaya
272,436,Berbahaya
174,219,Sangat Tidak Sehat
196,403,Berbahaya
155,126,Tidak Sehat
194,410,Berbahaya
278,375,Berbahaya
7,398,Berbahaya
424,57,Berbahaya
461,118,Berbahaya
275,496,Berbahaya
134,60,Tidak Sehat
495,303,Berbahaya
192,149,Tidak Sehat
347,447,Berbahaya
345,138,Berbahaya
217,248,Sangat Tidak Sehat
100,211,Sangat Tidak Sehat
483,55,Berbahaya
32,335,Berbahaya
243,204,Sangat Tidak Sehat
110,290,Sangat Tidak Sehat
147,316,Berbahaya
414,325,Berbahaya
184,308,Berbahaya
42,144,Tidak Sehat
98,332,Berbahaya
430,292,Berbahaya
489,423,Berbahaya
134,193,Tidak Sehat
338,486,Berbahaya
41,386,Berbahaya
362,204,Berbahaya
208,406,Berbahaya
459,121,Berbahaya
156,425,Berbahaya
471,279,Berbahaya
252,402,Berbahaya
174,220,Sangat Tidak Sehat
324,351,Berbahaya
125,378,Berbahaya
115,145,Tidak Sehat
98,196,Tidak Sehat
480,202,Berbahaya
246,84,Sangat Tidak Sehat
376,355,Berbahaya
237,157,Sangat Tidak Sehat
294,129,Sangat Tidak Sehat
292,268,Sangat Tidak Sehat
490,83,Berbahaya
334,465,Berbahaya
120,221,Sangat Tidak Sehat
8,232,Sangat Tidak Sehat
109,231,Sangat Tidak Sehat
228,163,Sangat Tidak Sehat
197,373,Berbahaya
406,227,Berbahaya
393,137,Berbahaya
45,228,Sangat Tidak Sehat
476,387,Berbahaya
264,118,Sangat Tidak Sehat
298,487,Berbahaya
203,309,Berbahaya
325,263,Berbahaya
436,198,Berbahaya
337,276,Berbahaya
485,325,Berbahaya
351,327,Berbahaya
411,294,Berbahaya
23,50,Baik
336,174,Berbahaya
327,156,Berbahaya
51,364,Berbahaya
421,418,Berbahaya
307,426,Berbahaya
49,328,Berbahaya
297,180,Sangat Tidak Sehat
239,454,Berbahaya
117,315,Berbahaya
10,350,Berbahaya
183,278,Sangat Tidak Sehat
310,274,Berbahaya
165,247,Sangat Tidak Sehat
154,254,Sangat Tidak Sehat
376,331,Berbahaya
379,91,Berbahaya
359,134,Berbahaya
51,434,Berbahaya
258,170,Sangat Tidak Sehat
279,383,Berbahaya
372,66,Berbahaya
452,26,Berbahaya
185,296,Sangat Tidak Sehat
214,295,Sangat Tidak Sehat
366,300,Berbahaya
331,204,Berbahaya
279,186,Sangat Tidak Sehat
175,195,Tidak Sehat
98,36,Sedang
92,493,Berbahaya
41,349,Berbahaya
41,24,Baik
423,218,Berbahaya
192,9,Tidak Sehat
30,335,Berbahaya
448,13,Berbahaya
112,72,Tidak Sehat
134,240,Sangat Tidak Sehat
97,335,Berbahaya
484,217,Berbahaya
56,315,Berbahaya
361,63,Berbahaya
466,94,Berbahaya
334,312,Berbahaya
429,481,Berbahaya
121,129,Tidak Sehat
337,77,Berbahaya
350,377,Berbahaya
229,165,Sangat Tidak Sehat
435,245,Berbahaya
347,52,Berbahaya
447,138,Berbahaya
377,122,Berbahaya
260,417,Berbahaya
249,291,Sangat Tidak Sehat
227,370,Berbahaya
11,480,Berbahaya
268,9,Sangat Tidak Sehat
211,145,Sangat Tidak Sehat
79,418,Berbahaya
60,378,Berbahaya
225,140,Sangat Tidak Sehat
20,265,Sangat Tidak Sehat
493,42,Berbahaya
189,442,Berbahaya
191,122,Tidak Sehat
26,380,Berbahaya
213,338,Berbahaya
8,178,Tidak Sehat
15,427,Berbahaya
170,292,Sangat Tidak Sehat
410,449,Berbahaya
229,191,Sangat Tidak Sehat
7,378,Berbahaya
82,215,Sangat Tidak Sehat
370,210,Berbahaya
369,353,Berbahaya
377,221,Berbahaya
176,341,Berbahaya
176,44,Tidak Sehat
401,346,Berbahaya
199,334,Berbahaya
364,404,Berbahaya
291,431,Berbahaya
182,469,Berbahaya
40,377,Berbahaya
58,32,Sedang
445,475,Berbahaya
226,59,Sangat Tidak Sehat
497,431,Berbahaya
182,130,Tidak Sehat
125,231,Sangat Tidak Sehat
175,25,Tidak Sehat
172,83,Tidak Sehat
319,170,Berbahaya
6,295,Sangat Tidak Sehat
382,388,Berbahaya
208,203,Sangat Tidak Sehat
216,442,Berbahaya
241,472,Berbahaya
225,278,Sangat Tidak Sehat
249,279,Sangat Tidak Sehat
173,386,Berbahaya
227,350,Berbahaya
202,314,Berbahaya
259,307,Berbahaya
312,200,Berbahaya
121,197,Tidak Sehat
254,195,Sangat Tidak Sehat
297,468,Berbahaya
8,423,Berbahaya
260,138,Sangat Tidak Sehat
120,210,Sangat Tidak Sehat
202,203,Sangat Tidak Sehat
413,302,Berbahaya
163,63,Tidak Sehat
242,373,Berbahaya
12,312,Berbahaya
154,475,Berbahaya
320,364,Berbahaya
158,14,Tidak Sehat
103,97,Tidak Sehat
145,195,Tidak Sehat
477,191,Berbahaya
43,120,Tidak Sehat
232,351,Berbahaya
29,171,Tidak Sehat
269,93,Sangat Tidak Sehat
73,164,Tidak Sehat
317,58,Berbahaya
132,276,Sangat Tidak Sehat
345,249,Berbahaya
174,157,Tidak Sehat
2,130,Tidak Sehat
147,317,Berbahaya
41,259,Sangat Tidak Sehat
248,155,Sangat Tidak Sehat
144,435,Berbahaya
320,207,Berbahaya
250,63,Sangat Tidak Sehat
18,204,Sangat Tidak Sehat
159,200,Sangat Tidak Sehat
245,456,Berbahaya
286,7,Sangat Tidak Sehat
52,148,Tidak Sehat
325,412,Berbahaya
172,453,Berbahaya
91,107,Tidak Sehat
403,211,Berbahaya
34,44,Baik
465,240,Berbahaya
353,95,Berbahaya
238,12,Sangat Tidak Sehat
6,136,Tidak Sehat
195,131,Tidak Sehat
323,444,Berbahaya
429,412,Berbahaya
309,200,Berbahaya
199,465,Berbahaya
224,95,Sangat Tidak Sehat
437,258,Berbahaya
176,233,Sangat Tidak Sehat
33,41,Baik
221,400,Berbahaya
499,142,Berbahaya
190,431,Berbahaya
97,355,Berbahaya
23,13,Baik
85,49,Sedang
162,113,Tidak Sehat
287,156,Sangat Tidak Sehat
333,173,Berbahaya
21,11,Baik
468,51,Berbahaya
118,475,Berbahaya
75,168,Tidak Sehat
265,460,Berbahaya
339,242,Berbahaya
154,426,Berbahaya
335,225,Berbahaya
147,315,Berbahaya
451,154,Berbahaya
440,413,Berbahaya
36,300,Berbahaya
75,60,Sedang
349,361,Berbahaya
0,222,Sangat Tidak Sehat
411,16,Berbahaya
178,452,Berbahaya
372,367,Berbahaya
22,198,Tidak Sehat
105,232,Sangat Tidak Sehat
35,455,Berbahaya
90,246,Sangat Tidak Sehat
192,169,Tidak Sehat
246,229,Sangat Tidak Sehat
458,78,Berbahaya
314,356,Berbahaya
353,359,Berbahaya
41,14,Baik
143,304,Berbahaya
496,157,Berbahaya
280,468,Berbahaya
394,341,Berbahaya
16,389,Berbahaya
42,259,Sangat Tidak Sehat
55,218,Sangat Tidak Sehat
8,369,Berbahaya
461,142,Berbahaya
127,308,Berbahaya
498,396,Berbahaya
369,340,Berbahaya
125,380,Berbahaya
496,227,Berbahaya
434,468,Berbahaya
82,30,Sedang
93,414,Berbahaya
340,142,Berbahaya
39,379,Berbahaya
292,175,Sangat Tidak Sehat
33,169,Tidak Sehat
111,259,Sangat Tidak Sehat
474,422,Berbahaya
249,32,Sangat Tidak Sehat
287,188,Sangat Tidak Sehat
135,131,Tidak Sehat
220,427,Berbahaya
67,30,Sedang
258,377,Berbahaya
27,471,Berbahaya
24,247,Sangat Tidak Sehat
340,444,Berbahaya
27,362,Berbahaya
261,1,Sangat Tidak Sehat
133,121,Tidak Sehat
94,122,Tidak Sehat
287,113,Sangat Tidak Sehat
148,153,Tidak Sehat
228,289,Sangat Tidak Sehat
69,91,Sedang
63,60,Sedang
53,158,Tidak Sehat
36,380,Berbahaya
277,140,Sangat Tidak Sehat
378,116,Berbahaya
396,333,Berbahaya
479,238,Berbahaya
84,25,Sedang
68,487,Berbahaya
235,442,Berbahaya
431,313,Berbahaya
384,220,Berbahaya
279,250,Sangat Tidak Sehat
78,343,Berbahaya
196,135,Tidak Sehat
360,447,Berbahaya
187,98,Tidak Sehat
20,353,Berbahaya
292,253,Sangat Tidak Sehat
360,258,Berbahaya
357,198,Berbahaya
82,486,Berbahaya
168,458,Berbahaya
205,207,Sangat Tidak Sehat
210,278,Sangat Tidak Sehat
57,433,Berbahaya
193,271,Sangat Tidak Sehat
253,91,Sangat Tidak Sehat
355,197,Berbahaya
